ScanCode,Access,Description,Instruments
HIGH_VS_26W_HL,allowed,26-Week High,"STK,STOCK.HK,STOCK.EU,STOCK.ME,STOCK.NA,ETF.EQ.US,ETF.FI.US"
LOW_VS_26W_HL,allowed,26-Week Low,"STK,STOCK.HK,STOCK.EU,STOCK.ME,STOCK.NA,ETF.EQ.US,ETF.FI.US"
HIGH_VS_52W_HL,allowed,52-Week High,"STK,STOCK.HK,STOCK.EU,STOCK.ME,STOCK.NA,ETF.EQ.US,ETF.FI.US"
LOW_VS_52W_HL,allowed,52-Week Low,"STK,STOCK.HK,STOCK.EU,STOCK.ME,STOCK.NA,ETF.EQ.US,ETF.FI.US"
FIRST_TRADE_DATE_ASC,unrestricted,Upcoming IPO Date Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
FIRST_TRADE_DATE_DESC,unrestricted,Upcoming IPO Date Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
HIGH_GROWTH_RATE,unrestricted,High Growth Rate (Refinitiv),"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
LOW_GROWTH_RATE,unrestricted,Low Growth Rate (Refinitiv),"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
HIGH_PE_RATIO,allowed,High P/E Ratio (Refinitiv),STK
LOW_PE_RATIO,allowed,Low P/E Ratio (Refinitiv),STK
HIGH_QUICK_RATIO,unrestricted,High Quick Ratio (Refinitiv),"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
LOW_QUICK_RATIO,unrestricted,Low Quick Ratio (Refinitiv),"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
HIGH_RETURN_ON_EQUITY,unrestricted,High Return On Equity (Refinitiv),"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
LOW_RETURN_ON_EQUITY,unrestricted,Low Return On Equity (Refinitiv),"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
HIGH_PRICE_2_BOOK_RATIO,allowed,High Price/Book Ratio (Refinitiv),STK
LOW_PRICE_2_BOOK_RATIO,allowed,Low Price/Book Ratio (Refinitiv),STK
HIGH_PRICE_2_TAN_BOOK_RATIO,allowed,High Price/Tang. Book Ratio (Refinitiv),STK
LOW_PRICE_2_TAN_BOOK_RATIO,allowed,Low Price/Tang. Book Ratio (Refinitiv),STK
SCAN_epsChangeTTM_ASC,allowed,EPS Chg TTM % (Refinitiv) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_epsChangeTTM_DESC,allowed,EPS Chg TTM % (Refinitiv) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_revChange_ASC,allowed,Rev Change(%) (Refinitiv) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_revChange_DESC,allowed,Rev Change(%) (Refinitiv) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_revGrowthRate5Y_ASC,allowed,Revenue Growth Rate 5Y (Refinitiv) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_revGrowthRate5Y_DESC,allowed,Revenue Growth Rate 5Y (Refinitiv) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_payoutRatioTTM_ASC,allowed,Payout Ratio TTM (Refinitiv) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_payoutRatioTTM_DESC,allowed,Payout Ratio TTM (Refinitiv) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_price2CashTTM_ASC,allowed,Price To Cash Per Share (Refinitiv) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_price2CashTTM_DESC,allowed,Price To Cash Per Share (Refinitiv) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_operatingMarginTTM_ASC,allowed,Operating Margin (Refinitiv) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_operatingMarginTTM_DESC,allowed,Operating Margin (Refinitiv) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_netProfitMarginTTM_ASC,allowed,Net Profit Margin(%) (Refinitiv) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_netProfitMarginTTM_DESC,allowed,Net Profit Margin(%) (Refinitiv) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_returnOnInvestmentTTM_ASC,allowed,Return On Investment (Refinitiv) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_returnOnInvestmentTTM_DESC,allowed,Return On Investment (Refinitiv) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
WSH_NEXT_MAJOR_EVENT,unrestricted,Upcoming Major Event (WSH),"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
WSH_NEXT_ANALYST_MEETING,unrestricted,Upcoming Meeting (WSH),"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
WSH_NEXT_EVENT,unrestricted,Upcoming Event (WSH),"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
WSH_PREV_EARNINGS,unrestricted,Recent Earnings (WSH),"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
WSH_PREV_ANALYST_MEETING,unrestricted,Recent Meeting (WSH),"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
WSH_PREV_EVENT,unrestricted,Recent Event (WSH),"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_sharesAvailableNorm_ASC,unrestricted,Shortable shares (Low-High),"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_sharesAvailableNorm_DESC,unrestricted,Shortable shares (High-Low),"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_feeRate_ASC,unrestricted,Fee Rate (Low-High),"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_feeRate_DESC,unrestricted,Fee Rate (High-Low),"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_utilization_ASC,unrestricted,Utilization (Low-High),"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_utilization_DESC,unrestricted,Utilization (High-Low),"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK,ETF.EQ.US,ETF.FI.US"
SCAN_avgRating_ASC,allowed,Avg Analyst Rating (Refinitiv) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_avgRating_DESC,allowed,Avg Analyst Rating (Refinitiv) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_numRatings_ASC,allowed,# of Analyst Ratings (Refinitiv) Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_numRatings_DESC,allowed,# of Analyst Ratings (Refinitiv) Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_avgPriceTarget_ASC,allowed,Avg Analyst Price Target (Refinitiv) Asc,STK
SCAN_avgPriceTarget_DESC,allowed,Avg Analyst Price Target (Refinitiv) Desc,STK
SCAN_numPriceTargets_ASC,allowed,# of Analyst Price Targets (Refinitiv) Asc,STK
SCAN_numPriceTargets_DESC,allowed,# of Analyst Price Targets (Refinitiv) Desc,STK
SCAN_avgAnalystTarget2PriceRatio_ASC,allowed,Analyst Target/Price Ratio (Refinitiv) Asc,STK
SCAN_avgAnalystTarget2PriceRatio_DESC,allowed,Analyst Target/Price Ratio (Refinitiv) Desc,STK
SCAN_ihNumSharesInsider_ASC,allowed,# Shares Held By Insider Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_ihNumSharesInsider_DESC,allowed,# Shares Held By Insider Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_ihInsiderOfFloatPerc_ASC,allowed,Insider Shares as % of Float Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_ihInsiderOfFloatPerc_DESC,allowed,Insider Shares as % of Float Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_iiNumSharesInstitutional_ASC,allowed,# Shares Held By Institutions Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_iiNumSharesInstitutional_DESC,allowed,# Shares Held By Institutions Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_iiInstitutionalOfFloatPerc_ASC,allowed,Institutional Shares as % of Float Asc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
SCAN_iiInstitutionalOfFloatPerc_DESC,allowed,Institutional Shares as % of Float Desc,"STK,STOCK.NA,STOCK.EU,STOCK.ME,STOCK.HK"
HIGH_LAST_VS_EMA20,allowed,Price vs EMA(20) Change(%) (High-Low),"STK,ETF.EQ.US,ETF.FI.US"
LOW_LAST_VS_EMA20,allowed,Price vs EMA(20) Change(%) (Low-High),"STK,ETF.EQ.US,ETF.FI.US"
HIGH_LAST_VS_EMA50,allowed,Price vs EMA(50) Change(%) (High-Low),"STK,ETF.EQ.US,ETF.FI.US"
LOW_LAST_VS_EMA50,allowed,Price vs EMA(50) Change(%) (Low-High),"STK,ETF.EQ.US,ETF.FI.US"
HIGH_LAST_VS_EMA100,allowed,Price vs EMA(100) Change(%) (High-Low),"STK,ETF.EQ.US,ETF.FI.US"
